7zip 24.09-3
xorg-fonts-100dpi 1.0.4-3
xorg-fonts-75dpi 1.0.4-2
xorg-fonts-alias-100dpi 1.0.5-1
xorg-fonts-alias-75dpi 1.0.5-1
xorg-fonts-alias-cyrillic 1.0.5-1
xorg-fonts-alias-misc 1.0.5-1
xorg-fonts-cyrillic 1.0.4-2
xorg-fonts-encodings 1.1.0-1
xorg-fonts-misc 1.0.4-2
xorg-fonts-type1 1:1.0.4-2
xorg-fonttosfnt 1.2.4-1
xorg-iceauth 1.0.10-1
xorg-mkfontscale 1.2.3-1
xorg-oclock 1.0.6-1
xorg-server 21.1.15-1
xorg-server-common 21.1.15-1
xorg-server-devel 21.1.15-1
xorg-server-xephyr 21.1.15-1
xorg-server-xnest 21.1.15-1
xorg-server-xvfb 21.1.15-1
xorg-sessreg 1.1.3-2
xorg-setxkbmap 1.3.4-2
xorg-smproxy 1.0.7-2
xorg-twm 1.0.12-2
xorg-util-macros 1.20.2-1
xorg-x11perf 1.7.0-1
xorg-xauth 1.1.3-1
xorg-xbiff 1.0.5-1
xorg-xcalc 1.1.2-2
xorg-xclipboard 1.1.5-1
xorg-xclock 1.1.1-2
xorg-xcmsdb 1.0.7-1
xorg-xconsole 1.1.0-1
xorg-xcursorgen 1.0.8-2
xorg-xdm 1.1.16-1
xorg-xdpyinfo 1.3.4-2
xorg-xdriinfo 1.0.7-2
xorg-xedit 1.2.4-2
xorg-xev 1.2.6-1
xorg-xeyes 1.3.0-2
xorg-xfd 1.1.4-2
xorg-xfontsel 1.1.1-1
xorg-xgamma 1.0.7-2
xorg-xhost 1.0.9-2
xorg-xinit 1.4.3-1
xorg-xinput 1.6.4-2
xorg-xkbcomp 1.4.7-1
xorg-xkbevd 1.1.6-1
xorg-xkbprint 1.0.7-1
xorg-xkbutils 1.0.6-1
xorg-xkill 1.0.6-2
xorg-xload 1.2.0-2
xorg-xlogo 1.0.7-1
xorg-xlsatoms 1.1.4-2
xorg-xlsclients 1.1.5-2
xorg-xlsfonts 1.0.8-1
xorg-xmag 1.0.8-1
xorg-xman 1.2.0-2
xorg-xmessage 1.0.7-1
xorg-xmodmap 1.0.11-2
xorg-xpr 1.2.0-1
xorg-xprop 1.2.8-1
xorg-xrandr 1.5.3-1
xorg-xrdb 1.2.2-2
xorg-xrefresh 1.1.0-1
xorg-xset 1.2.5-2
xorg-xsetroot 1.1.3-2
xorg-xvidtune 1.0.4-2
xorg-xvinfo 1.1.5-2
xorg-xwayland 24.1.4-1
xorg-xwd 1.0.9-2
xorg-xwininfo 1.1.6-2
xorg-xwud 1.0.7-1
xorgproto 2024.1-2
xvidcore 1.3.7-3
xxhash 0.8.3-1
xz 5.6.3-1
yyjson 0.10.0-1
zenity 4.0.3-1
zeromq 4.3.5-2
zimg 3.0.5-1
zip 3.0-11
zix 0.4.2-2
zlib 1:1.3.1-2
zoom 6.3.5-1
zsh 5.9-5
zstd 1.5.6-1
zxing-cpp 2.3.0-4
